State,County,FIPS,,,Social Vulnerability PCT,"Extreme Events (Wildfires, Floodings, Storms) PCT",Labor Availability PCT,Water Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Land Cost,State Project Enablement Index PCT,Long-Haul Fiber Optics Presence,,,Total Score,,,Total Score PCT,,,,,,
,,,,Source,"ATM
https://climatevulnerabilityindex.org/","ATM
https://climatevulnerabilityindex.org/",Bureau of Labor Statistics,"Multiple: US Census Bureau, USGS","NETL and EPA
0.1 if EOR
0.15 if only carbon pipeline
0.4 if only primacy
0.9 else",Berkeley Lab,USDA (https://www.ers.usda.gov/data-products/charts-of-note/chart-detail?chartId=109375),"CNBC
America’s Top States for Business 2025 without columns education, cost of life, quality of life
https://www.cnbc.com/2025/07/10/top-states-for-business-americas-2025-the-full-rankings.html","ITU (https://bbmaps.itu.int/bbmaps/)
0.05 = presence of LHFO in the county
0.95 = absence of LHFO in the county",,,,,,,,,,,,
,,,,Normalized Weights,2.22%,12.22%,4.44%,8.89%,15.56%,20.00%,6.67%,13.33%,16.67%,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,State,County,Siting Readiness PCT,Weighted Best Performance,Weighted 2nd Best Performance,Weighted 3rd Best Performance,Weighted Worst Performance,Weighted 2nd Worst Performance,Weighted 3rd Worst Performance
AL, Colbert,01033,,,0.678,0.547,0.301,0.508,0.9,0.448666667,0.037184161,0.38,0.05,,,0.431667833,AL, Colbert,0.403,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Conecuh,01035,,,0.893,0.587,0.811,0.552,0.1,0.448666667,0.031037351,0.38,0.05,,,0.343058046,AL, Conecuh,0.175,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",State Project Enablement Index PCT
AL, Coosa,01037,,,0.873,0.363,0.757,0.667,0.9,0.448666667,0.034002019,0.38,0.05,,,0.447700135,AL, Coosa,0.462,Land Cost,Long-Haul Fiber Optics Presence,Social Vulnerability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Covington,01039,,,0.841,0.416,0.584,0.581,0.1,0.448666667,0.036503387,0.38,0.95,,,0.463855781,AL, Covington,0.515,Land Cost,Sequestration Access (EOR/Pipeline/Primacy),Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Interconnection Queue,Water Availability PCT
AL, Crenshaw,01041,,,0.894,0.43,0.703,0.585,0.1,0.448666667,0.034300389,0.38,0.95,,,0.472242248,AL, Crenshaw,0.54,Land Cost,Sequestration Access (EOR/Pipeline/Primacy),Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Cullman,01043,,,0.702,0.515,0.261,0.621,0.9,0.448666667,0.045815664,0.38,0.05,,,0.437132155,AL, Cullman,0.424,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Dale,01045,,,0.798,0.22,0.36,0.574,0.9,0.448666667,0.039155532,0.38,0.05,,,0.402988147,AL, Dale,0.331,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Dallas,01047,,,0.853,0.185,0.58,0.562,0.1,0.448666667,0.030681756,0.38,0.05,,,0.283634339,AL, Dallas,0.069,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,State Project Enablement Index PCT,Water Availability PCT
AL, DeKalb,01049,,,0.903,0.597,0.313,0.627,0.9,0.448666667,0.044408287,0.38,0.95,,,0.604371664,AL, DeKalb,0.86,Land Cost,Labor Availability PCT,Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Elmore,01051,,,0.625,0.637,0.226,0.643,0.9,0.448666667,0.03878848,0.38,0.05,,,0.450263676,AL, Elmore,0.47,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Escambia,01053,,,0.922,0.73,0.599,0.562,0.1,0.448666667,0.032906686,0.38,0.05,,,0.352771557,AL, Escambia,0.201,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",State Project Enablement Index PCT
AL, Etowah,01055,,,0.73,0.214,0.206,0.62,0.9,0.448666667,0.047039656,0.38,0.95,,,0.548513755,AL, Etowah,0.741,Land Cost,Labor Availability PCT,Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Fayette,01057,,,0.924,0.518,0.67,0.527,0.9,0.448666667,0.031557024,0.38,0.95,,,0.601303802,AL, Fayette,0.853,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Franklin,01059,,,0.908,0.639,0.473,0.509,0.9,0.448666667,0.03717362,0.38,0.95,,,0.605756019,AL, Franklin,0.864,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Geneva,01061,,,0.947,0.481,0.496,0.575,0.9,0.448666667,0.036163612,0.38,0.95,,,0.59413313,AL, Geneva,0.835,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Greene,01063,,,0.951,0.575,0.842,0.556,0.1,0.448666667,0.031755108,0.38,0.05,,,0.344661452,AL, Greene,0.179,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",State Project Enablement Index PCT
AL, Hale,01065,,,0.947,0.545,0.714,0.557,0.1,0.448666667,0.03156944,0.38,0.95,,,0.485293518,AL, Hale,0.576,Land Cost,Sequestration Access (EOR/Pipeline/Primacy),Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Henry,01067,,,0.789,0.316,0.593,0.603,0.9,0.448666667,0.036114812,0.38,0.95,,,0.577252099,AL, Henry,0.803,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Houston,01069,,,0.719,0.147,0.197,0.585,0.9,0.448666667,0.038002525,0.38,0.05,,,0.385966835,AL, Houston,0.289,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Jackson,01071,,,0.861,0.739,0.502,0.635,0.9,0.448666667,0.037094466,0.38,0.95,,,0.629417409,AL, Jackson,0.909,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Jefferson,01073,,,0.625,0.507,0.079,0.613,0.9,0.448666667,0.052163568,0.38,0.05,,,0.42606646,AL, Jefferson,0.387,Land Cost,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Lamar,01075,,,0.863,0.845,0.71,0.516,0.9,0.448666667,0.027359641,0.38,0.95,,,0.640435087,AL, Lamar,0.921,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Lauderdale,01077,,,0.503,0.634,0.232,0.508,0.9,0.448666667,0.045069663,0.38,0.05,,,0.435871311,AL, Lauderdale,0.419,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Lawrence,01079,,,0.72,0.693,0.46,0.532,0.9,0.448666667,0.043665167,0.38,0.05,,,0.460077678,AL, Lawrence,0.502,Land Cost,Long-Haul Fiber Optics Presence,Social Vulnerability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Lee,01081,,,0.408,0.165,0.139,0.695,0.9,0.448666667,0.044346468,0.38,0.05,,,0.388878653,AL, Lee,0.297,Land Cost,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Limestone,01083,,,0.624,0.558,0.175,0.607,0.9,0.448666667,0.042840623,0.38,0.05,,,0.435389375,AL, Limestone,0.417,Land Cost,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Lowndes,01085,,,0.933,0.526,0.79,0.599,0.1,0.448666667,0.030302597,0.38,0.05,,,0.33968684,AL, Lowndes,0.168,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",Water Availability PCT
AL, Macon,01087,,,0.73,0.253,0.623,0.686,0.9,0.448666667,0.032450959,0.38,0.05,,,0.426707842,AL, Macon,0.392,Land Cost,Long-Haul Fiber Optics Presence,Social Vulnerability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Madison,01089,,,0.339,0.404,0.084,0.618,0.9,0.448666667,0.050510794,0.38,0.05,,,0.407678497,AL, Madison,0.341,Land Cost,Labor Availability PCT,Social Vulnerability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Marengo,01091,,,0.903,0.542,0.738,0.545,0.1,0.448666667,0.029675308,0.38,0.05,,,0.333822798,AL, Marengo,0.151,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",State Project Enablement Index PCT
AL, Marion,01093,,,0.869,0.669,0.552,0.513,0.9,0.448666667,0.035335935,0.38,0.95,,,0.612300173,AL, Marion,0.878,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Marshall,01095,,,0.831,0.631,0.204,0.631,0.9,0.448666667,0.047450273,0.38,0.95,,,0.602641129,AL, Marshall,0.855,Land Cost,Labor Availability PCT,Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Mobile,01097,,,0.746,0.975,0.134,0.556,0.1,0.448666667,0.04322767,0.38,0.05,,,0.358292956,AL, Mobile,0.221,Land Cost,Labor Availability PCT,Long-Haul Fiber Optics Presence,"Extreme Events (Wildfires, Floodings, Storms) PCT",Interconnection Queue,State Project Enablement Index PCT
AL, Monroe,01099,,,0.881,0.659,0.764,0.552,0.1,0.448666667,0.030662589,0.38,0.05,,,0.349477506,AL, Monroe,0.191,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",State Project Enablement Index PCT
AL, Montgomery,01101,,,0.646,0.189,0.148,0.625,0.1,0.448666667,0.035113414,0.38,0.05,,,0.266218672,AL, Montgomery,0.048,Land Cost,Labor Availability PCT,Long-Haul Fiber Optics Presence,Interconnection Queue,Water Availability PCT,State Project Enablement Index PCT
AL, Morgan,01103,,,0.627,0.388,0.171,0.607,0.9,0.448666667,0.049014428,0.38,0.05,,,0.414912073,AL, Morgan,0.357,Land Cost,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Perry,01105,,,0.867,0.539,0.848,0.569,0.1,0.448666667,0.030373646,0.38,0.05,,,0.33972491,AL, Perry,0.169,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",State Project Enablement Index PCT
AL, Pickens,01107,,,0.944,0.548,0.732,0.521,0.1,0.448666667,0.032123224,0.38,0.95,,,0.483230437,AL, Pickens,0.57,Land Cost,Sequestration Access (EOR/Pipeline/Primacy),Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Pike,01109,,,0.751,0.424,0.461,0.579,0.1,0.448666667,0.036401249,0.38,0.05,,,0.307182306,AL, Pike,0.103,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",Water Availability PCT
AL, Randolph,01111,,,0.927,0.611,0.58,0.655,0.9,0.448666667,0.03961822,0.38,0.95,,,0.620652326,AL, Randolph,0.894,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Russell,01113,,,0.778,0.113,0.345,0.681,0.9,0.448666667,0.033244381,0.38,0.95,,,0.547916292,AL, Russell,0.738,Land Cost,"Extreme Events (Wildfires, Floodings, Storms) PCT",Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, St. Clair,01115,,,0.623,0.443,0.222,0.615,0.9,0.448666667,0.045039218,0.38,0.05,,,0.42425817,AL, St. Clair,0.382,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Shelby,01117,,,0.176,0.444,0.132,0.621,0.9,0.448666667,0.044786162,0.38,0.05,,,0.410963522,AL, Shelby,0.347,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Sumter,01119,,,0.921,0.686,0.802,0.538,0.1,0.448666667,0.030585805,0.38,0.05,,,0.35410572,AL, Sumter,0.206,Land Cost,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT",State Project Enablement Index PCT
AL, Talladega,01121,,,0.896,0.513,0.284,0.621,0.9,0.448666667,0.03916554,0.38,0.05,,,0.441777703,AL, Talladega,0.442,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Tallapoosa,01123,,,0.891,0.382,0.461,0.688,0.9,0.448666667,0.034641469,0.38,0.05,,,0.439176098,AL, Tallapoosa,0.43,Land Cost,Long-Haul Fiber Optics Presence,Social Vulnerability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,Water Availability PCT
AL, Tuscaloosa,01125,,,0.513,0.477,0.195,0.537,0.9,0.448666667,0.03829531,0.38,0.05,,,0.417386354,AL, Tuscaloosa,0.363,Land Cost,Long-Haul Fiber Optics Presence,Labor Availability PCT,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Walker,01127,,,0.862,0.586,0.356,0.533,0.9,0.448666667,0.037099748,0.38,0.95,,,0.595184428,AL, Walker,0.838,Land Cost,Labor Availability PCT,Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AL, Washington,01129,,,0.867,0.935,0.754,0.566,0.1,0.448666667,0.032613591,0.38,0.95,,,0.533829795,AL, Washington,0.706,Land Cost,Sequestration Access (EOR/Pipeline/Primacy),Social Vulnerability PCT,Long-Haul Fiber Optics Presence,"Extreme Events (Wildfires, Floodings, Storms) PCT",Interconnection Queue
AL, Wilcox,01131,,,0.912,0.423,0.832,0.569,0.1,0.448666667,0.029115346,0.38,0.95,,,0.475752134,AL, Wilcox,0.549,Land Cost,Sequestration Access (EOR/Pipeline/Primacy),Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Interconnection Queue,"Extreme Events (Wildfires, Floodings, Storms) PCT"
AL, Winston,01133,,,0.86,0.536,0.56,0.538,0.9,0.448666667,0.034317524,0.38,0.95,,,0.598354502,AL, Winston,0.845,Land Cost,Social Vulnerability PCT,Labor Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),Interconnection Queue
AK, Aleutians East,02013,,,0.477,0.631,0.991,0.234,0.9,0.474,0.053210006,0.98,0.95,,,0.679914,AK, Aleutians East,0.964,Land Cost,Social Vulnerability PCT,Water Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Aleutians West,02016,,,0.331,0.058,0.959,0.385,0.9,0.474,0.053210006,0.98,0.95,,,0.618636223,AK, Aleutians West,0.888,Land Cost,"Extreme Events (Wildfires, Floodings, Storms) PCT",Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Anchorage,02020,,,0.096,0.069,0.19,0.185,0.9,0.474,0.058779988,0.98,0.95,,,0.563174221,AK, Anchorage,0.778,Social Vulnerability PCT,Land Cost,"Extreme Events (Wildfires, Floodings, Storms) PCT",Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Bethel,02050,,,0.806,0.718,0.995,0.18,0.9,0.474,0.053210006,0.98,0.95,,,0.693236223,AK, Bethel,0.976,Land Cost,Water Availability PCT,Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Bristol Bay,02060,,,0.27,0.288,0.947,0.183,0.9,0.474,0.053210006,0.98,0.95,,,0.626902889,AK, Bristol Bay,0.906,Land Cost,Social Vulnerability PCT,Water Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Denali,02068,,,0.142,0.078,0.981,0.181,0.9,0.474,0.053210006,0.98,0.95,,,0.599725112,AK, Denali,0.848,Social Vulnerability PCT,Land Cost,"Extreme Events (Wildfires, Floodings, Storms) PCT",Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Dillingham,02070,,,0.622,0.028,1,0.182,0.9,0.474,0.053210006,0.98,0.95,,,0.605214,AK, Dillingham,0.862,"Extreme Events (Wildfires, Floodings, Storms) PCT",Land Cost,Social Vulnerability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Fairbanks North Star,02090,,,0.066,0.053,0.998,0.18,0.9,0.474,0.029997126,0.98,0.95,,,0.594099808,AK, Fairbanks North Star,0.835,Social Vulnerability PCT,Land Cost,"Extreme Events (Wildfires, Floodings, Storms) PCT",Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Haines,02100,,,0.128,0.032,0.998,0.288,0.9,0.474,0.053210006,0.98,0.95,,,0.604058445,AK, Haines,0.859,Social Vulnerability PCT,Land Cost,"Extreme Events (Wildfires, Floodings, Storms) PCT",Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Hoonah-Angoon,02105,,,0.515,0.15,0.77,0.294,0.9,0.474,0.053210006,0.98,0.95,,,0.617480667,AK, Hoonah-Angoon,0.886,Land Cost,Social Vulnerability PCT,"Extreme Events (Wildfires, Floodings, Storms) PCT",Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Juneau,02110,,,0.125,0.327,0.984,0.253,0.9,0.474,0.185427948,0.98,0.95,,,0.64512853,AK, Juneau,0.928,Social Vulnerability PCT,Land Cost,Water Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
AK, Kenai Peninsula,02122,,,0.354,0.267,0.993,0.207,0.9,0.474,0.04779181,0.98,0.95,,,0.630019454,AK, Kenai Peninsula,0.91,Land Cost,Social Vulnerability PCT,Water Availability PCT,Long-Haul Fiber Optics Presence,Sequestration Access (EOR/Pipeline/Primacy),State Project Enablement Index PCT
